Feb 14 01:11:08 gremlin-1 exo[1143694]: [ 01:11:08.294 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 106: NodeGatheredInfo(event_id='1afb4bf8-9ca6-4db8-bbd4-75b786c06dd1' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:08 gremlin-1 exo[1143694]: [ 01:11:08.294 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='1afb4bf8-9ca6-4db8-bbd4-75b786c06dd1' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:08 gremlin-1 exo[1143694]: [ 01:11:08.460 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:11:09 gremlin-1 exo[1143694]: [ 01:11:09.295 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 107: NodeGatheredInfo(event_id='2f9786ef-fbf4-4884-8808-e4712b7a5699' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:09 gremlin-1 exo[1143694]: [ 01:11:09.296 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='2f9786ef-fbf4-4884-8808-e4712b7a5699' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:09 gremlin-1 exo[1143694]: [ 01:11:09.461 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:11:10 gremlin-1 exo[1143694]: [ 01:11:10.296 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 108: NodeGatheredInfo(event_id='3b8bede9-102f-443f-b713-076cf357560b' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:10 gremlin-1 exo[1143694]: [ 01:11:10.297 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='3b8bede9-102f-443f-b713-076cf357560b' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:10 gremlin-1 exo[1143694]: [ 01:11:10.474 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:11:11 gremlin-1 exo[1143694]: [ 01:11:11.297 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 109: NodeGatheredInfo(event_id='cc9c2489-f46a-479f-af2d-70b2869da993' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:11 gremlin-1 exo[1143694]: [ 01:11:11.298 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='cc9c2489-f46a-479f-af2d-70b2869da993' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:11 gremlin-1 exo[1143694]: [ 01:11:11.562 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:11:12 gremlin-1 exo[1143694]: [ 01:11:12.065 | DEBUG    | exo.master.api:_log_requests:199 ] API request: POST /v1/chat/completions
Feb 14 01:11:12 gremlin-1 exo[1143694]: [ 01:11:12.066 | WARNING  | exo.master.api:_trigger_notify_user_to_download_model:615 ] TODO: we should send a notification to the user to download the model
Feb 14 01:11:12 gremlin-1 exo[1143694]: [ 01:11:12.299 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 110: NodeGatheredInfo(event_id='bd479dd2-3f57-42ae-a8b3-0482812af481' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:12 gremlin-1 exo[1143694]: [ 01:11:12.299 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='bd479dd2-3f57-42ae-a8b3-0482812af481' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:12 gremlin-1 exo[1143694]: [ 01:11:12.350 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /instance/previews
Feb 14 01:11:12 gremlin-1 exo[1143694]: [ 01:11:12.572 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:11:13 gremlin-1 exo[1143694]: [ 01:11:13.300 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 111: NodeGatheredInfo(event_id='2a4d5d6c-7730-407b-b167-e16ea0729087' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:13 gremlin-1 exo[1143694]: [ 01:11:13.301 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='2a4d5d6c-7730-407b-b167-e16ea0729087' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:13 gremlin-1 exo[1143694]: [ 01:11:13.562 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:11:14 gremlin-1 exo[1143694]: [ 01:11:14.302 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 112: NodeGatheredInfo(event_id='4d1208f5-55e2-4ae1-84db-45925b6dc58f' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:14 gremlin-1 exo[1143694]: [ 01:11:14.302 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='4d1208f5-55e2-4ae1-84db-45925b6dc58f' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:14 gremlin-1 exo[1143694]: [ 01:11:14.563 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:11:15 gremlin-1 exo[1143694]: [ 01:11:15.288 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 113: NodeGatheredInfo(event_id='9fff86a7-37df-4af8-a501-f63270543dd7' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:15 gremlin-1 exo[1143694]: [ 01:11:15.290 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='9fff86a7-37df-4af8-a501-f63270543dd7' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:15 gremlin-1 exo[1143694]: [ 01:11:15.304 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 114: NodeGatheredInfo(event_id='3312590c-29c4-439a-8660-80e2b2a58a43' node_id='12D3KooWC744SKP9gHWpWVAYSR
