Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.577 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: TaskDeleted(event_id='2b3a3065-37fb-4a76-8934-36ea82400348' task_id='a45dbcca-ba27-44f6-87a2-e7a9ddf
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.578 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: RunnerStatusUpdated(event_id='a93b4a75-5789-4626-be7f-14e672b5af48' runner_id='df59b55d-428f-4bde-a4
Feb 14 01:43:25 gremlin-1 exo[1239460]: [ 01:43:25.988 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:43:26 gremlin-1 exo[1239460]: [ 01:43:26.341 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 148: NodeGatheredInfo(event_id='4b493c79-3c5d-44be-bd44-294bdc70cd7c' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:26 gremlin-1 exo[1239460]: [ 01:43:26.342 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='4b493c79-3c5d-44be-bd44-294bdc70cd7c' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:26 gremlin-1 exo[1239460]: [ 01:43:26.988 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.342 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 149: NodeGatheredInfo(event_id='8487e7a0-ccd2-463d-9b6c-9110a2b2155d' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.343 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='8487e7a0-ccd2-463d-9b6c-9110a2b2155d' node_id='12D3KooWECE3ryieLFaKGYY5kG
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.459 | DEBUG    | exo.download.coordinator:_emit_existing_download_progress:279 ] DownloadCoordinator: Fetching and emitting existing download progress...
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.491 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 150: NodeDownloadProgress(event_id='65c8243a-10a8-477e-a2c0-7e1853261911' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.492 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='65c8243a-10a8-477e-a2c0-7e1853261911' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.496 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 151: NodeDownloadProgress(event_id='822fb283-823c-4368-a882-74267cf3b3bb' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.497 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='822fb283-823c-4368-a882-74267cf3b3bb' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.504 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 152: NodeDownloadProgress(event_id='95085cbb-cb4b-4af2-b5b7-2663d19305e1' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.505 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='95085cbb-cb4b-4af2-b5b7-2663d19305e1' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.508 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 153: NodeDownloadProgress(event_id='54df44c7-0346-4f3f-bd9f-bb4c967711f6' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.509 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='54df44c7-0346-4f3f-bd9f-bb4c967711f6' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.520 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 154: NodeDownloadProgress(event_id='8c0dbec8-9811-4398-ad67-7bf0582d45a2' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.520 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 155: NodeDownloadProgress(event_id='07c427be-0510-4cc2-a37f-a67a20fd8ef6' download_progress=DownloadCompl
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.521 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='8c0dbec8-9811-4398-ad67-7bf0582d45a2' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.521 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='07c427be-0510-4cc2-a37f-a67a20fd8ef6' download_progress=DownloadCompl
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.591 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 156: NodeDownloadProgress(event_id='0647c1a3-6f30-42ba-b2c9-0d7c781f1fa9' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.592 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='0647c1a3-6f30-42ba-b2c9-0d7c781f1fa9' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.600 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 157: NodeDownloadProgress(event_id='6c12360a-59c9-49af-beb7-cdb85299ffab' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.601 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='6c12360a-59c9-49af-beb7-cdb85299ffab' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.629 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 158: NodeDownloadProgress(event_id='4c718ae1-2793-458b-a9f0-e4c967a1a8e5' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.632 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='4c718ae1-2793-458b-a9f0-e4c967a1a8e5' download_progress=DownloadPendi
