Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: State 'stop-sigterm' timed out. Killing.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1070975 (.exo-wrapped) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1071018 (python3.13) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Main process exited, code=killed, status=9/KILL
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Failed with result 'timeout'.
Feb 14 01:01:32 gremlin-1 systemd[1]: Stopped exo Distributed AI Inference Service.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Consumed 1min 31.946s CPU time, 16.7G memory peak, 10.9G read from disk, 408K written to disk, 8.7G incoming IP traffic, 197.1M outgoing IP traffic.
Feb 14 01:01:32 gremlin-1 systemd[1]: Starting exo Distributed AI Inference Service...
Feb 14 01:01:32 gremlin-1 systemd[1]: Started exo Distributed AI Inference Service.
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.016 | DEBUG    | exo.shared.election:_campaign:232 ] Election queue [ElectionMessage(clock=0, seniority=0, proposed_session=SessionId(master_node_id='12D3KooWFqJJWdMdMqg7KvrGjxbVsQDJoZVLowt7DVkf4558y9RT', election_clock=0), commands_seen=0)]
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.016 | DEBUG    | exo.shared.election:_campaign:233 ] Elected: clock=0 seniority=0 proposed_session=SessionId(master_node_id='12D3KooWFqJJWdMdMqg7KvrGjxbVsQDJoZVLowt7DVkf4558y9RT', election_clock=0) commands_seen=0
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.016 | DEBUG    | exo.shared.election:_campaign:238 ] Node is a candidate and seniority is 0
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.016 | DEBUG    | exo.shared.election:_campaign:242 ] New seniority: 1
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.016 | DEBUG    | exo.shared.election:_campaign:247 ] Election finished, new SessionId(master_node_id='12D3KooWFqJJWdMdMqg7KvrGjxbVsQDJoZVLowt7DVkf4558y9RT' election_clock=0) with queue [ElectionMessage(clock=0, seniority=0, proposed_session=SessionId(master_node_id='12D3KooWFqJJWdMdMqg7KvrGjxbVsQDJoZVLowt7DVkf4558y9RT', election_clock=0), commands_seen=0)]
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.016 | DEBUG    | exo.shared.election:_campaign:250 ] Sending election result
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.017 | DEBUG    | exo.shared.election:elect:114 ] Electing: clock=0 seniority=0 proposed_session=SessionId(master_node_id='12D3KooWFqJJWdMdMqg7KvrGjxbVsQDJoZVLowt7DVkf4558y9RT', election_clock=0) commands_seen=0
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.017 | DEBUG    | exo.shared.election:elect:117 ] Current session: master_node_id='12D3KooWFqJJWdMdMqg7KvrGjxbVsQDJoZVLowt7DVkf4558y9RT' election_clock=0
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.017 | DEBUG    | exo.shared.election:_election_receiver:137 ] Election message received: clock=0 seniority=0 proposed_session=SessionId(master_node_id='12D3KooWFqJJWdMdMqg7KvrGjxbVsQDJoZVLowt7DVkf4558y9RT', election_clock=0) commands_seen=0
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.017 | DEBUG    | exo.shared.election:_election_receiver:139 ] Dropping message from ourselves
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.017 | DEBUG    | exo.shared.election:_campaign:252 ] Election result sent
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.017 | DEBUG    | exo.shared.election:_campaign:256 ] Election 0 finally
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.017 | DEBUG    | exo.shared.election:_campaign:259 ] Setting done event
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.017 | DEBUG    | exo.shared.election:_campaign:261 ] Done event set
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.017 | DEBUG    | exo.shared.election:run:101 ] Initial campaign finished
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.018 | INFO     | exo.main:_elect_loop:180 ] Node elected Master
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.018 | INFO     | exo.master.api:unpause:234 ] Unpausing API
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.018 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 0: NodeGatheredInfo(event_id='55515e73-c5eb-48fd-b1ff-9ea4c842f90a' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.019 | INFO     | logging:handle:1681 ] Running on http://0.0.0.0:52415 (CTRL + C to quit)
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.019 | INFO     | logging:handle:1681 ] Running on http://0.0.0.0:52415 (CTRL + C to quit)
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.020 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1: NodeGatheredInfo(event_id='3b081680-9000-48a9-82f1-5700d2dcc667' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.020 | DEBUG    | exo.shared.election:_election_receiver:137 ] Election message received: clock=0 seniority=0 proposed_session=SessionId(master_node_id='12D3KooWFqJJWdMdMqg7KvrGjxbVsQDJoZVLowt7DVkf4558y9RT', election_clock=0) commands_seen=0
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.020 | DEBUG    | exo.shared.election:_election_receiver:139 ] Dropping message from ourselves
